Order_ID,Customer_ID,Product_ID,Quantity,Order_Date,Order_Time,Delivery_Date,Delivery_Time,Location,Occasion
1,C037,67,5,24-Feb-23,23:48:13,05-Mar-23,07:27:10,Bardhaman,Anniversary
3,C029,67,5,14-Jul-23,19:12:03,19-Jul-23,17:39:00,Bilaspur,Anniversary
4,C012,14,5,10-Jul-23,04:44:29,19-Jul-23,06:33:23,Guwahati,Birthday
15,C069,21,5,26-Aug-23,02:52:39,30-Aug-23,13:26:45,Pune,Raksha Bandhan
29,C064,10,5,22-Sep-23,01:06:22,01-Oct-23,14:29:16,Kollam,Birthday
31,C029,7,5,28-Feb-23,13:13:22,03-Mar-23,23:35:49,Nandyal,Holi
32,C065,7,5,04-Mar-23,15:36:41,05-Mar-23,15:54:10,Pudukkottai,Holi
35,C055,7,5,02-Mar-23,16:10:26,05-Mar-23,15:00:40,Asansol,Holi
37,C096,19,5,10-Feb-23,11:01:04,15-Feb-23,21:19:36,Katni,Valentine's Day
45,C097,61,5,28-Apr-23,14:26:26,29-Apr-23,06:16:36,Haldia,Anniversary
47,C013,7,5,26-Feb-23,13:04:28,28-Feb-23,06:00:20,Jaipur,Holi
53,C045,9,5,20-Aug-23,08:25:45,27-Aug-23,05:59:31,Kozhikode,Raksha Bandhan
56,C095,58,5,08-Feb-23,12:11:48,13-Feb-23,18:51:59,Danapur,Valentine's Day
57,C090,35,5,26-Feb-23,08:00:15,06-Mar-23,12:27:32,Ahmedabad,Holi
59,C041,51,5,26-Jun-23,03:56:15,28-Jun-23,20:10:04,Thiruvananthapuram,All Occasions
66,C017,35,5,26-Feb-23,21:00:44,27-Feb-23,06:25:58,Munger,Holi
71,C013,9,5,20-Aug-23,16:32:06,28-Aug-23,13:31:32,Karnal,Raksha Bandhan
81,C053,1,5,22-Feb-23,18:29:21,03-Mar-23,07:09:32,Kalyan-Dombivli,All Occasions
87,C055,2,5,04-Feb-23,13:17:21,11-Feb-23,23:06:36,Malda,Valentine's Day
89,C060,3,5,12-Feb-23,22:56:52,13-Feb-23,14:41:41,Aurangabad,Valentine's Day
92,C100,18,5,15-May-23,00:11:18,25-May-23,11:17:55,Rohtak,Birthday
